"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
3,3,4,6,5,4,2196.43466666648,946.100050641745,12886.9808096748,"Red Deer",0
7,7,7,7,7,7,2234.88044444461,4760.315966642,7375.00460666427,"Red Deer",0
4,5,4,3,1,4,1741.56000000013,634.511683175623,493.106398393727,"Red Deer",0
1,1,1,1,1,1,2747.81333333439,960.878916103095,3315.02524608765,"Red Deer",0
1,1,1,1,3,1,2257.35955555563,2320.04426382579,2659.66360867382,"Red Deer",0
1,1,1,1,1,1,2591.14222222344,1589.53137884668,1517.58986004582,"Red Deer",0
,,,,,,1723.03999999994,177.32108360048,1478.07290882853,"Red Deer",0
,,,,,,1753.62088888866,83.87053050893,7.70220894407009,"Red Deer",0
3,3,3,1,1,3,2085.99333333371,142.531448396916,289.034460135736,"Red Deer",0
3,4,5,5,4,4,2176.59333333327,280.617509739118,173.798323168476,"Red Deer",0
1,1,1,1,1,1,2478.6813333342,3843.07816372438,9717.89354269236,"Red Deer",0
4,4,4,4,3,4,2065.21333333339,289.296720707794,257.736773984822,"Red Deer",0
1,1,1,1,4,1,2481.05288889071,3889.83343287766,6176.48725347393,"Red Deer",0
,,,,,,2051.97999999995,596.199557127163,4165.87795723403,"Red Deer",0
,,,,,,1854.96000000031,363.006316732238,7517.9308039634,"Red Deer",0
4,5,4,1,4,4,1765.9066666666,239.375487711515,57.0152097726707,"Red Deer",0
3,4,3,4,3,3,2239.4533333339,830.207869974926,11695.1521144264,"Red Deer",0
,,,,,,2003.18044444393,50.4350808390555,1629.17971663935,"Red Deer",0
1,1,1,1,1,1,2330.2804444448,1832.76564794494,4463.50038095801,"Red Deer",0
3,3,4,6,5,4,2297.40666666554,1252.52718108507,4728.66340413997,"Red Deer",0
4,5,5,3,1,5,1768,63.4065745841059,0,"Red Deer",0
1,1,1,1,4,1,2798.67999999945,2231.13784720961,10587.7451827444,"Red Deer",0
,,,,,,2117.74799999981,413.56864202893,2670.64244819062,"Red Deer",0
,,,,,,2164.8466666666,77.4134404668584,4804.61842327019,"Red Deer",0
1,3,3,5,4,3,2377.67955555551,4376.14761596393,12602.2923532132,"Red Deer",0
4,4,4,4,3,4,2226.14000000031,1469.35155944244,3442.82241606246,"Red Deer",0
3,3,3,3,1,3,2163.89333333403,615.758795228597,389.632267734943,"Red Deer",0
1,1,1,1,4,1,2268.76666666672,400.046458940727,360.60485113825,"Red Deer",0
4,5,4,1,4,4,1783.95288888916,436.924646203266,359.868227956122,"Red Deer",0
1,1,1,1,1,1,2613.18044444367,2153.31783026177,7164.47881999466,"Red Deer",0
5,1,3,4,4,4,2264.30666666653,716.672420707278,4318.73326370804,"Red Deer",0
1,1,1,1,1,1,2898.95333333284,5510.66599091505,5388.28599053422,"Red Deer",0
3,3,5,5,5,4,2325.36666666704,1296.14969608353,9281.80577201311,"Red Deer",0
,,,,,,2023.86622222205,404.648939810163,991.450669208561,"Red Deer",0
3,3,3,5,5,3,2267.04622222256,373.210079684386,309.491098277271,"Red Deer",0
3,3,4,6,5,4,2169.90622222293,681.549962932263,7281.18814421138,"Red Deer",0
1,1,1,1,4,1,2627.58622222305,2391.19926489559,6905.24530279173,"Red Deer",0
1,1,1,1,1,1,2033.86000000063,464.031121159925,5301.9905431048,"Red Deer",0
4,3,3,3,1,4,2109.77333333352,2722.23368140996,3007.12748889101,"Red Deer",0
1,1,1,1,4,1,2339.83333333233,1457.41344046686,8674.50577687418,"Red Deer",0
4,4,4,4,3,4,2135.50622222248,2667.53844283484,4236.48339576544,"Red Deer",0
1,1,1,1,4,1,2820.77288888772,3924.04525577232,7959.5889709645,"Red Deer",0
1,1,1,1,4,1,2433.36800000129,783.93221836572,778.371667582794,"Red Deer",0
4,4,4,4,3,4,1913.28666666622,922.919900371511,1147.84395417133,"Red Deer",0
,,,,,,2187.03244444367,944.700061212929,787.257104430093,"Red Deer",0
,,,,,,1770.92000000062,17.4134404668584,1201.25398124617,"Red Deer",0
1,1,1,1,4,1,2553.79422222076,2208.27423814263,2019.74145474991,"Red Deer",0
1,1,1,1,4,1,2433.66666666687,978.330393244556,1331.59083247103,"Red Deer",0
1,1,3,4,6,3,2281.71244444421,1483.0752316438,1492.28010205978,"Red Deer",0
1,1,1,1,1,1,2913.78133333321,6184.73463526412,7237.99086477288,"Red Deer",0
4,5,4,3,3,4,1785.47377777788,528.033870054244,4417.11551008718,"Red Deer",0
4,4,4,4,3,4,1869.04666666691,857.845333880185,4367.94627749717,"Red Deer",0
,,,,,,2677.38711111154,1980.25425766373,6963.87435573463,"Red Deer",0
1,1,1,1,4,1,2534.86000000021,2176.86622317916,9442.79622318508,"Red Deer",0
,,,,,,2425.55333333333,1340.77709369351,7751.62929998336,"Red Deer",0
,,,,,,2662.52577777793,1466.10852553596,7501.9967224474,"Red Deer",0
4,6,3,1,1,5,1968.92666666717,109.228560773834,54.7793158039545,"Red Deer",0
1,1,3,6,5,3,2571.48666666585,2148.04857582745,1969.73676913635,"Red Deer",0
4,4,4,4,3,4,2104.42622222243,158.657543089597,12065.2364834229,"Red Deer",0
1,1,1,1,4,1,2257.98711111177,5958.87771851378,5910.76678517735,"Red Deer",0
3,3,3,3,1,3,2421.09333333288,1536.48080019432,1533.30919858642,"Red Deer",0
4,5,4,3,3,4,1841.24000000025,766.492178036699,5632.77755213438,"Red Deer",0
,,,,,,1711.84666666661,47.4134404668584,8513.47820010817,"Red Deer",0
3,5,4,1,3,4,1830.16711111109,122.843548432325,90.3203958033199,"Red Deer",0
3,3,5,5,5,4,2244.26044444475,846.748451658716,8347.40829673258,"Red Deer",0
,,,,,,2117.50666666642,472.405541716205,1582.63274479179,"Red Deer",0
3,3,3,4,4,3,2324.47999999956,429.684033358004,2416.32739100288,"Red Deer",0
1,4,3,1,1,3,2316.21333333339,4.06295541271485,282.272657792084,"Red Deer",0
3,3,3,5,5,3,2231.75999999975,134.882268832932,8340.76737113595,"Red Deer",0
3,4,3,3,1,3,1751.18000000025,71.1241402666747,0,"Red Deer",0
1,3,3,5,5,3,2286.85333333434,1628.72020585176,3377.5782165752,"Red Deer",0
1,1,1,1,4,1,2493.64000000018,1543.1688069241,2353.45203140367,"Red Deer",0
1,1,1,1,4,1,2841.69333333202,4027.20810010124,10062.0300415811,"Red Deer",0
3,3,3,1,1,3,2330.7471111106,3986.83473308246,3871.83885655889,"Red Deer",0
1,1,1,1,1,1,2656.37333333384,1848.13749782943,9499.0367519018,"Red Deer",0
1,1,1,5,5,3,2479.62088888892,2720.69205082032,3417.88778375171,"Red Deer",0
1,1,1,1,1,1,2927.25333333334,4993.42121901159,4874.67101821568,"Red Deer",0
4,6,3,1,1,5,2316.89333333351,2197.33575096424,2091.4183557301,"Red Deer",0
4,5,4,3,3,4,1968.37999999988,199.6926710926,6753.16405712397,"Red Deer",0
,,,,,,1988.22044444429,910.245699317137,846.806989323876,"Red Deer",0
