"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","landcover16","EASTING","NORTHING","pack","used","usedFactor"
4,5,5,3,3,5,1766.14622222224,427.396182522456,9367.81640625,8,580840,5724800,"Red Deer",1,"1"
4,4,4,1,3,4,1788.78000000006,360.504295775846,10398.599609375,2,580000,5724195,"Red Deer",1,"1"
4,5,5,4,1,5,1765.10044444455,283.66480121006,10296.5166015625,2,579800,5724800,"Red Deer",1,"1"
4,5,5,4,1,5,1742.91333333315,167.413440466858,6347.8193359375,2,583803,5725654,"Red Deer",1,"1"
,,,,,,1987.39377777732,27.9095144816908,8853.8623046875,2,573900,5741316,"Red Deer",1,"1"
1,1,1,1,4,1,1778.35999999982,622.625727725299,723.794128417969,13,588573,5728804,"Red Deer",1,"1"
4,5,5,4,1,5,1764.31333333333,373.210079684386,9331.240234375,2,580785,5724966,"Red Deer",1,"1"
4,5,5,4,1,5,1764.31333333333,373.210079684386,9331.240234375,2,580785,5724966,"Red Deer",1,"1"
4,5,5,3,1,5,1716.67955555551,248.099093583832,6884.41357421875,1,583410,5725264,"Red Deer",1,"1"
3,5,4,1,3,4,1709.14622222224,316.923707887493,6327.79345703125,7,584234,5725034,"Red Deer",1,"1"
3,5,4,1,3,4,1709.14622222224,316.923707887493,6327.79345703125,7,584234,5725034,"Red Deer",1,"1"
5,3,6,1,5,6,1826.98711111084,527.688856721753,6743.71875,13,583114,5726123,"Red Deer",1,"1"
4,5,5,3,1,5,1712.53333333327,42.5865595331416,6094.205078125,1,584350,5725300,"Red Deer",1,"1"
4,4,4,3,3,4,2007.45288888903,2105.19991288342,9342.662109375,2,575450,5717684,"Red Deer",1,"1"
4,3,3,5,6,4,2225.0795555557,824.243515206515,901.804016113281,16,558480,5719440,"Red Deer",1,"1"
4,3,3,5,6,4,2225.0795555557,824.243515206515,901.804016113281,16,558480,5719440,"Red Deer",1,"1"
,,,,,,2174.19377777795,92.0839019589685,11339.4609375,8,576430,5738410,"Red Deer",1,"1"
,,,,,,2174.19377777795,92.0839019589685,11339.4609375,8,576430,5738410,"Red Deer",1,"1"
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90515136719,1,570610,5710430,"Red Deer",1,"1"
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90515136719,1,570610,5710430,"Red Deer",1,"1"
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.852478027344,3,559311,5716123,"Red Deer",1,"1"
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.852478027344,3,559311,5716123,"Red Deer",1,"1"
3,5,4,1,3,4,1708.72044444467,372.586559533142,5988.12060546875,10,584800,5724900,"Red Deer",1,"1"
4,5,5,3,1,5,1714.53333333327,8.52360412042671,6108.91845703125,8,584270,5725360,"Red Deer",1,"1"
4,5,5,4,1,5,1733.37999999988,315.63164440023,6095.99951171875,8,584050,5725750,"Red Deer",1,"1"
4,5,5,4,1,5,1771.05955555539,370.758604878967,6378.53173828125,2,583650,5725850,"Red Deer",1,"1"
,,,,,,2174.19377777795,92.0839019589685,11339.4609375,8,576430,5738410,"Red Deer",1,"1"
,,,,,,2174.19377777795,92.0839019589685,11339.4609375,8,576430,5738410,"Red Deer",1,"1"
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90515136719,1,570610,5710430,"Red Deer",1,"1"
4,4,4,4,3,4,2086.33377777825,1289.25285415524,1595.90515136719,1,570610,5710430,"Red Deer",1,"1"
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.852478027344,3,559311,5716123,"Red Deer",1,"1"
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.852478027344,3,559311,5716123,"Red Deer",1,"1"
3,5,4,1,1,4,1966.60044444468,132.586559533142,196.952972412109,2,559095,5720124,"Red Deer",1,"1"
4,5,5,3,3,5,1801.54044444442,94.455824447672,18.3247604370117,8,559145,5713337,"Red Deer",1,"1"
3,4,4,4,4,4,2169.71288888891,1704.15054860518,9264.564453125,2,580310,5708450,"Red Deer",1,"1"
3,4,4,4,4,4,2169.71288888891,1704.15054860518,9264.564453125,2,580310,5708450,"Red Deer",1,"1"
5,3,6,1,5,6,1737.13333333308,77.4134404668584,6550.18896484375,13,583630,5725550,"Red Deer",1,"1"
5,3,6,1,5,6,1737.13333333308,77.4134404668584,6550.18896484375,13,583630,5725550,"Red Deer",1,"1"
5,3,6,1,5,6,1737.13333333308,77.4134404668584,6550.18896484375,13,583630,5725550,"Red Deer",1,"1"
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548828125,12,589450,5728050,"Red Deer",1,"1"
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548828125,12,589450,5728050,"Red Deer",1,"1"
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548828125,12,589450,5728050,"Red Deer",1,"1"
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.853515625,8,580168,5722180,"Red Deer",1,"1"
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.853515625,8,580168,5722180,"Red Deer",1,"1"
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.853515625,8,580168,5722180,"Red Deer",1,"1"
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.853515625,8,580168,5722180,"Red Deer",1,"1"
4,5,5,3,3,5,1875.31333333333,99.6840333580039,5777.5224609375,1,572480,5715500,"Red Deer",1,"1"
4,5,5,3,3,5,1875.31333333333,99.6840333580039,5777.5224609375,1,572480,5715500,"Red Deer",1,"1"
