id1,used,used2,id,id2,name,date_,nocollared,season,how_obtain,confidence,packid,pack,disthha,easting,northing,distacc,wolfwin,sheepwi,goatwin,elkwint,moosewi,deerwin,elevati,landcov,rowid_,value,count,habitattyp,AlpineHerb,AlpineShrub,BurnForest,BurnGrassland,BurnShrub,ClosedConifer,Cloud,Herbaceous,MixedForest,ModerateConifer,OpenConifer,RockIce,Shrub,Water,burn
739,0,0,0,0,0,,0,,0,0,0,Bow valley,335.41,591275,5666815,335.41,4,4,3,4,4,4,1578,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,1,1,18,961,44,1/20/02,1,winter,2,1,2,Bow valley,560.45,585150,5676250,30,6,5,1,6,1,6,1435,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
162,1,1,164,1256,63,11/1/02,1,winter,2,1,2,Bow valley,361.25,586500,5673700,361.25,5,3,1,5,5,5,1402,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1220,0,0,0,0,0,,0,,0,0,0,Bow valley,2591.14,568363,5689024,1719.45,4,1,1,3,3,4,2042,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
192,1,1,194,1384,63,1/1/03,1,winter,2,1,2,Bow valley,1570.35,566300,5690000,268.33,4,3,1,4,5,4,1621,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
841,0,0,0,0,0,,0,,0,0,0,Bow valley,234.31,590041,5670862,234.31,6,1,3,6,3,6,1648,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
842,0,0,0,0,0,,0,,0,0,0,Bow valley,953.41,583968,5673329,953.41,5,4,1,5,5,4,1566,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
193,1,1,195,1385,63,1/8/03,1,winter,2,1,2,Bow valley,174.93,573600,5682000,174.93,4,4,3,4,4,4,1460,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
752,0,0,0,0,0,,0,,0,0,0,Bow valley,201.25,580162,5677118,201.25,5,3,1,5,5,5,1420,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1152,0,0,0,0,0,,0,,0,0,0,Bow valley,2496.5,582041,5671232,2496.5,1,1,4,1,1,1,2779,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
847,0,0,0,0,0,,0,,0,0,0,Bow valley,934.34,579628,5676046,934.34,4,5,3,3,6,4,1744,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
696,0,0,0,0,0,,0,,0,0,0,Bow valley,429.53,569838,5684915,305.94,4,3,3,4,5,4,1541,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1329,0,0,0,0,0,,0,,0,0,0,Bow valley,3139.55,558707,5705058,3139.55,1,1,4,1,1,1,2291,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1224,0,0,0,0,0,,0,,0,0,0,Bow valley,0,601108,5658935,0,3,3,4,1,4,1,2241,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
777,0,0,0,0,0,,0,,0,0,0,Bow valley,1481.89,590436,5672082,1481.89,4,5,3,3,6,4,2046,8,12,8,341073,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
860,0,0,0,0,0,,0,,0,0,0,Bow valley,1180.72,588666,5673432,1180.72,4,5,5,4,3,4,1766,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1162,0,0,0,0,0,,0,,0,0,0,Bow valley,1223.76,590295,5666741,1154.12,5,3,3,3,4,5,1744,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,,0,,0,0,0,Bow valley,330,594755,5667375,330,5,3,1,5,4,4,1523,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
645,0,0,0,0,0,,0,,0,0,0,Bow valley,254.56,558305,5694907,94.87,4,1,1,3,5,4,1536,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
700,0,0,0,0,0,,0,,0,0,0,Bow valley,991.82,577794,5680399,991.82,4,3,1,4,5,4,1592,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
997,0,0,0,0,0,,0,,0,0,0,Bow valley,466.69,568277,5683558,247.39,4,1,4,4,5,4,1493,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
868,0,0,0,0,0,,0,,0,0,0,Bow valley,890.45,585000,5676955,84.85,4,4,3,4,4,4,1544,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,1,1,15,958,44,1/25/02,1,winter,2,1,2,Bow valley,150,590500,5669600,150,5,3,1,5,5,5,1406,8,12,8,341073,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1099,0,0,0,0,0,,0,,0,0,0,Bow valley,300,582038,5675993,300,5,3,1,5,5,5,1423,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1249,0,0,0,0,0,,0,,0,0,0,Bow valley,11715.3,570031,5725207,1594.52,1,1,4,1,1,1,2214,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,1,1,190,1367,63,12/28/02,1,winter,2,1,2,Bow valley,189.74,588200,5671800,189.74,5,1,1,5,6,4,1402,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1139,0,0,0,0,0,,0,,0,0,0,Bow valley,1633.55,576601,5677003,1633.55,4,3,1,4,5,4,1823,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1157,0,0,0,0,0,,0,,0,0,0,Bow valley,1484.92,568087,5687668,1484.92,4,3,1,4,5,4,1613,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
580,0,0,0,0,0,,0,,0,0,0,Bow valley,825.41,561873,5694217,825.41,5,4,1,5,5,4,1604,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1029,0,0,0,0,0,,0,,0,0,0,Bow valley,1328.16,565220,5690422,30,4,3,1,4,5,4,1583,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
585,0,0,0,0,0,,0,,0,0,0,Bow valley,192.09,567104,5686088,192.09,4,1,1,4,4,4,1494,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
134,1,1,136,1082,44,4/2/02,1,winter,2,1,2,Bow valley,108.17,587100,5673800,108.17,5,3,1,5,5,5,1403,12,15,12,227876,Burn-Forest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
156,1,1,158,1249,63,10/25/02,1,winter,2,2,2,Bow valley,182.48,590075,5670600,182.48,6,1,3,6,3,6,1565,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1333,0,0,0,0,0,,0,,0,0,0,Bow valley,2026.06,557271,5704734,2026.06,4,3,1,4,6,4,2191,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,1,1,228,1470,63,2/16/03,1,winter,2,1,2,Bow valley,94.87,560750,5694350,42.43,4,1,1,4,4,4,1520,9,7,9,64429,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1274,0,0,0,0,0,,0,,0,0,0,Bow valley,2737.24,564910,5713953,2737.24,1,1,1,1,1,1,2689,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1165,0,0,0,0,0,,0,,0,0,0,Bow valley,0,603300,5657824,0,4,1,1,4,4,4,1557,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
563,0,0,0,0,0,,0,,0,0,0,Bow valley,732.39,575102,5683764,732.39,1,1,4,1,1,1,2677,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1063,0,0,0,0,0,,0,,0,0,0,Bow valley,268.33,568866,5684129,268.33,4,1,1,4,4,4,1463,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
465,0,0,0,0,0,,0,,0,0,0,Bow valley,169.71,569155,5685243,169.71,4,3,1,4,5,4,1535,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
901,0,0,0,0,0,,0,,0,0,0,Bow valley,1705.78,564697,5691675,725.6,4,3,1,4,5,4,1641,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
904,0,0,0,0,0,,0,,0,0,0,Bow valley,0,599740,5663857,0,4,1,3,4,5,3,1686,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1017,0,0,0,0,0,,0,,0,0,0,Bow valley,342.05,558951,5695023,201.25,4,1,4,4,5,4,1526,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,1,1,176,1327,63,12/3/02,1,winter,2,2,2,Bow valley,400.25,585000,5676200,67.08,6,5,1,6,1,6,1426,12,15,12,227876,Burn-Forest,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1354,0,0,0,0,0,,0,,0,0,0,Bow valley,468.61,556959,5707063,468.61,4,1,1,4,5,3,1761,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
909,0,0,0,0,0,,0,,0,0,0,Bow valley,3419.74,576091,5675069,3419.74,5,1,4,4,4,5,2212,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
994,0,0,0,0,0,,0,,0,0,0,Bow valley,1818.16,581863,5672107,1818.16,1,1,4,1,1,1,2598,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
913,0,0,0,0,0,,0,,0,0,0,Bow valley,30,561285,5692444,30,4,1,4,4,5,4,1511,8,12,8,341073,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
914,0,0,0,0,0,,0,,0,0,0,Bow valley,579.4,560338,5695320,579.4,4,3,1,4,5,4,1565,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
280,1,1,283,1702,87,1/26/05,1,winter,2,1,2,Bow valley,180,587426,5672697,180,5,3,1,5,5,5,1402,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
429,0,0,0,0,0,,0,,0,0,0,Bow valley,60,573339,5678373,60,4,3,1,4,5,4,1582,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
203,1,1,205,1395,63,2/4/03,1,winter,2,1,2,Bow valley,108.17,585300,5674950,108.17,6,1,3,6,4,6,1402,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
918,0,0,0,0,0,,0,,0,0,0,Bow valley,593.97,585444,5672377,593.97,4,4,3,4,4,4,1562,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
919,0,0,0,0,0,,0,,0,0,0,Bow valley,0,595887,5664609,0,1,1,4,1,1,1,2317,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
922,0,0,0,0,0,,0,,0,0,0,Bow valley,0,596898,5661721,0,1,1,4,1,1,1,2431,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
923,0,0,0,0,0,,0,,0,0,0,Bow valley,67.08,572943,5682383,67.08,4,1,3,4,4,4,1464,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
605,0,0,0,0,0,,0,,0,0,0,Bow valley,0,599737,5661644,0,3,3,1,3,4,3,1886,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
926,0,0,0,0,0,,0,,0,0,0,Bow valley,42.43,572727,5680664,42.43,4,1,1,4,4,4,1455,5,9,5,89214,Mixed forest,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
929,0,0,0,0,0,,0,,0,0,0,Bow valley,910.93,582250,5678067,910.93,5,1,1,4,4,4,1686,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
935,0,0,0,0,0,,0,,0,0,0,Bow valley,1116.47,585086,5677191,241.87,4,4,3,4,4,4,1590,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1155,0,0,0,0,0,,0,,0,0,0,Bow valley,0,598701,5660494,0,3,5,6,3,3,3,2322,16,16,16,148034,Alpine Shrub,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
726,0,0,0,0,0,,0,,0,0,0,Bow valley,0,592339,5664957,0,4,4,3,4,4,4,1601,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
787,0,0,0,0,0,,0,,0,0,0,Bow valley,488.36,573450,5676544,488.36,3,1,3,3,3,3,1825,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,1,1,235,1477,63,3/23/03,1,winter,2,1,2,Bow valley,152.97,568700,5685100,152.97,4,1,3,4,4,4,1492,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
796,0,0,0,0,0,,0,,0,0,0,Bow valley,375.9,562417,5692458,375.9,4,3,1,4,4,4,1537,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
