"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
1,1,1,1,1,1,1494,189.487380073766,0,"Bow Valley",1
1,1,1,1,4,1,1778.35999999982,622.625727725299,723.794145171925,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044186078012,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044186078012,"Red Deer",1
3,3,3,4,4,3,2035.07333333309,30.8216010761394,217.044186078012,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21413718863,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21413718863,"Red Deer",1
3,3,3,4,4,3,2132.62666666667,201.257981006487,7770.21413718863,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.8531665801,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.8531665801,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.8531665801,"Red Deer",1
3,3,4,6,5,4,2035.59333333301,85.5284741384265,11300.8531665801,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41447468205,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41447468205,"Red Deer",1
3,4,3,3,1,3,1874.21955555507,137.413440466858,4791.41447468205,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548812326044,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548812326044,"Red Deer",1
3,4,4,3,1,4,1649.77288888891,138.86828858799,815.548812326044,"Red Deer",1
3,4,4,3,4,4,1856.68711111195,1631.43706684753,1630.21030125725,"Bow Valley",1
3,4,4,4,4,4,2169.71288888891,1704.15054860518,9264.56467718943,"Red Deer",1
3,4,4,4,4,4,2169.71288888891,1704.15054860518,9264.56467718943,"Red Deer",1
3,5,4,1,1,4,1766.00666666654,218.134909904978,175.000022014667,"Red Deer",1
3,5,4,1,1,4,1766.00666666654,218.134909904978,175.000022014667,"Red Deer",1
3,5,4,1,1,4,1966.60044444468,132.586559533142,196.952976686037,"Red Deer",1
3,5,4,1,3,4,1433,12.5865595331416,0,"Bow Valley",1
3,5,4,1,3,4,1433,67.5113664661284,0,"Bow Valley",1
3,5,4,1,3,4,1433,89.5034352571814,0,"Bow Valley",1
3,5,4,1,3,4,1433,100.01950744765,0,"Bow Valley",1
3,5,4,1,3,4,1433,165.970442172393,0,"Bow Valley",1
3,5,4,1,3,4,1433,168.28096696933,94.091254589418,"Bow Valley",1
3,5,4,1,3,4,1443.43999999987,27.9095144816908,5.64884107052051,"Bow Valley",1
3,5,4,1,3,4,1444.58622222212,8.52360412042671,80.1752583178647,"Bow Valley",1
3,5,4,1,3,4,1444.75333333321,8.52360412042671,4.22435471895893,"Bow Valley",1
3,5,4,1,3,4,1446.75333333321,5.6210779452891,52.796655940237,"Bow Valley",1
3,5,4,1,3,4,1708.72044444467,372.586559533142,5988.12075506424,"Red Deer",1
3,5,4,1,3,4,1709.14622222224,316.923707887493,6327.79326046606,"Red Deer",1
3,5,4,1,3,4,1709.14622222224,316.923707887493,6327.79326046606,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.85248331097,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.85248331097,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.85248331097,"Red Deer",1
4,3,3,3,1,4,2007.52622222237,519.053956543144,607.85248331097,"Red Deer",1
4,3,3,3,1,4,2220.23333333277,1428.69927274045,5482.18605645948,"Red Deer",1
4,3,3,5,6,4,2225.0795555557,824.243515206515,901.803993756063,"Red Deer",1
4,3,3,5,6,4,2225.0795555557,824.243515206515,901.803993756063,"Red Deer",1
4,3,4,5,5,4,1788.83288888772,1077.67564119367,848.44426304575,"Bow Valley",1
4,3,4,5,5,4,1948.6271111106,1058.43334041239,1559.77715999945,"Bow Valley",1
4,4,3,1,1,4,1811.07333333309,528.184399752405,383.793379125766,"Bow Valley",1
4,4,4,1,1,4,1430.53333333327,677.437854431751,459.927257754651,"Bow Valley",1
4,4,4,1,1,4,1431,476.118338986262,323.319447825663,"Bow Valley",1
4,4,4,1,1,4,1431,560.663379407331,413.319447825663,"Bow Valley",1
4,4,4,1,1,4,1432,584.006252680649,400.298033919567,"Bow Valley",1
4,4,4,1,1,4,1433,17.4134404668584,0,"Bow Valley",1
4,4,4,1,1,4,1433,181.905590670469,11.8238587564199,"Bow Valley",1
4,4,4,1,1,4,1433,192.586559533142,246.657615980088,"Bow Valley",1
4,4,4,1,1,4,1433,209.148987970743,7.75129681125941,"Bow Valley",1
4,4,4,1,1,4,1433,235.924426142286,5.03625551448576,"Bow Valley",1
4,4,4,1,1,4,1433,275.992952220022,36.9518807544691,"Bow Valley",1
4,4,4,1,1,4,1433,312.586559533142,125.299565349379,"Bow Valley",1
4,4,4,1,1,4,1433,316.518954703627,21.2361020661484,"Bow Valley",1
4,4,4,1,1,4,1433,320.62374658565,0,"Bow Valley",1
4,4,4,1,1,4,1433,396.656577345835,12.2027099483102,"Bow Valley",1
4,4,4,1,1,4,1433,396.656577345835,12.2027099483102,"Bow Valley",1
4,4,4,1,1,4,1433,443.691663214953,22.9213790488826,"Bow Valley",1
4,4,4,1,1,4,1437,359.026659211658,181.121049755563,"Bow Valley",1
4,4,4,1,1,4,1438.58622222212,168.500757750776,0,"Bow Valley",1
4,4,4,1,1,4,1440,280.640437269106,194.407061276084,"Bow Valley",1
4,4,4,1,1,4,1440,320.62374658565,204.347589879613,"Bow Valley",1
4,4,4,1,1,4,1441,27.9095144816908,13.8614212153081,"Bow Valley",1
4,4,4,1,1,4,1441.36622222218,12.5865595331416,13.5650217649185,"Bow Valley",1
4,4,4,1,1,4,1443,233.612856153105,111.021099394563,"Bow Valley",1
4,4,4,1,1,4,1443.21999999994,67.5113664661284,31.0400450196714,"Bow Valley",1
4,4,4,1,1,4,1473.31333333333,252.932088284033,0,"Bow Valley",1
4,4,4,1,1,4,1478,151.3415898572,0,"Bow Valley",1
